lat [deg],lon [deg],priority,duration [s]
-15.0552,-161.3946,0.252,3600
54.0857,11.2877,0.351,3600
27.8393,14.6286,0.259,3600
11.839,49.4748,0.18,3600
-41.2778,81.3929,0.209,3600
-41.2807,171.3067,0.515,3600
-53.03,5.8681,0.286,3600
43.9411,-63.7357,0.428,3600
12.1338,106.267,0.553,3600
24.9687,-82.5004,0.721,3600
-57.5299,-21.9703,0.135,3600
56.3892,-151.7557,0.819,3600
39.8931,-170.8737,0.665,3600
-34.5193,166.5534,0.174,3600
-38.181,120.9528,0.886,3600
-37.9915,70.5507,0.929,3600
-23.4909,-32.7769,0.155,3600
2.9708,-117.614,0.349,3600
-8.1666,-123.6827,0.826,3600
-25.0525,-89.9126,0.773,3600
13.4223,17.7216,0.266,3600
-43.2607,77.2545,0.288,3600
-24.9426,57.6711,0.433,3600
-16.0366,-79.2238,0.536,3600
-5.2716,163.7515,0.656,3600
34.2211,85.6429,0.432,3600
-36.0391,19.5675,0.516,3600
1.7081,40.2195,0.773,3600
11.0897,-28.944,0.133,3600
-54.426,-90.8168,0.327,3600
12.9054,-51.8498,0.742,3600
-39.5371,92.8246,0.906,3600
-52.1938,-174.8183,0.561,3600
53.8663,-138.2138,0.579,3600
55.8758,-163.439,0.196,3600
37.0077,-165.3376,0.503,3600
-23.4463,127.9658,0.579,3600
-48.2793,73.3168,0.318,3600
22.108,-9.2974,0.342,3600
-7.1817,-144.7797,0.44,3600
-45.3554,-3.0183,0.118,3600
-0.5788,-9.5502,0.39,3600
-55.8734,-117.6473,0.29,3600
49.1184,-23.8134,0.395,3600
-28.9464,-36.5383,0.208,3600
19.5027,41.706,0.901,3600
-22.5947,48.6337,0.634,3600
2.4082,-163.6906,0.711,3600
5.6052,-45.1395,0.81,3600
-37.8175,45.3096,0.549,3600
56.3502,1.1291,0.178,3600
33.0159,128.3363,0.583,3600
52.7399,57.1297,0.628,3600
47.3793,-121.3436,0.771,3600
11.748,-154.5953,0.488,3600
50.6249,51.2709,0.215,3600
-49.3809,-170.4559,0.355,3600
-36.4821,30.8792,0.427,3600
-54.5727,158.4829,0.681,3600
-20.9604,27.1707,0.614,3600
-13.3587,-40.2588,0.42,3600
-27.4381,51.5838,0.988,3600
39.4485,-15.029,0.645,3600
-17.1896,16.422,0.314,3600
-26.2879,158.9273,0.192,3600
5.1235,-41.0031,0.238,3600
-43.0891,166.0286,0.321,3600
36.2636,145.9262,0.245,3600
-51.0539,-109.5152,0.268,3600
58.4264,-155.0299,0.357,3600
32.6694,-143.7199,0.256,3600
-36.1541,-173.4401,0.907,3600
-59.3373,-146.0005,0.172,3600
37.8554,65.8824,0.572,3600
24.8229,-154.3721,0.469,3600
27.4809,-65.1688,0.984,3600
32.5524,124.1551,0.201,3600
-51.1146,-171.6221,0.458,3600
-16.9841,113.2087,0.973,3600
-46.0957,-78.5323,0.879,3600
43.5724,-137.4607,0.835,3600
14.7958,70.8254,0.332,3600
-20.2922,46.4194,0.254,3600
-52.373,135.8899,0.702,3600
-22.6821,84.6256,0.936,3600
-20.978,109.2531,0.601,3600
27.5527,-78.4676,0.614,3600
16.5069,-116.1218,0.352,3600
46.4655,90.2213,0.793,3600
-3.3342,110.4605,0.268,3600
-45.6487,176.5819,0.391,3600
25.5894,-31.4576,0.483,3600
31.2942,-46.0735,0.557,3600
7.3533,99.5087,0.318,3600
32.5161,-57.3107,0.203,3600
-0.7445,155.0726,0.65,3600
2.7279,129.0286,0.36,3600
-8.6951,-25.5622,0.623,3600
-56.9497,90.3136,0.239,3600
-47.053,91.6354,0.533,3600
-56.2285,-142.8754,0.579,3600
16.3692,144.919,0.147,3600
-22.2773,1.8909,0.403,3600
1.0285,117.5247,0.221,3600
48.908,-64.7821,0.157,3600
-30.0849,142.3884,0.991,3600
-10.754,-39.8874,0.39,3600
30.6661,-176.0984,0.829,3600
-32.5442,145.9375,0.329,3600
-50.7624,-147.1368,0.713,3600
-25.2298,-65.0471,0.784,3600
-40.6534,162.0223,0.636,3600
51.5637,162.2186,0.524,3600
36.9744,26.4376,0.471,3600
16.0085,47.4614,0.414,3600
44.5753,-18.5596,0.937,3600
36.4406,-74.4441,0.848,3600
-37.6116,-61.6808,0.969,3600
47.1071,62.1066,0.212,3600
4.7211,90.8548,0.758,3600
36.8928,104.9685,0.945,3600
47.531,104.2625,0.263,3600
-21.8396,-147.1658,0.16,3600
-46.7938,-2.0087,0.767,3600
-32.6478,-159.2788,0.617,3600
-8.7471,17.8304,0.858,3600
38.1618,-21.049,0.226,3600
43.2877,139.5735,0.816,3600
-59.1657,-53.6706,0.281,3600
1.2897,-137.8559,0.247,3600
-9.9107,-128.523,0.248,3600
-33.3471,94.1438,0.833,3600
-45.6162,42.5585,0.699,3600
-19.4862,-143.5958,0.571,3600
53.1492,-149.7215,0.423,3600
-21.2156,72.3489,0.889,3600
2.2549,-153.8053,0.453,3600
24.3623,115.8696,0.835,3600
-16.3644,74.2472,0.495,3600
56.6138,-150.7144,0.439,3600
55.4937,-149.4584,0.516,3600
-29.7861,175.1902,0.371,3600
-0.3302,-45.2625,0.773,3600
-23.8946,-46.5688,0.552,3600
-25.8191,112.6078,0.309,3600
-55.5736,161.0095,0.91,3600
13.1477,174.9604,0.446,3600
0.3215,91.2161,0.589,3600
-53.8225,-44.5465,0.916,3600
-26.5624,-149.9397,0.662,3600
48.9919,99.7729,0.205,3600
-31.2526,21.0255,0.946,3600
-42.6126,-27.2801,0.665,3600
-1.2657,146.2876,0.401,3600
58.2781,-139.9689,0.225,3600
-30.9534,-2.655,0.815,3600
20.6563,-175.9127,0.658,3600
31.3944,-11.2822,0.58,3600
-31.4835,-159.7308,0.905,3600
27.386,-137.2256,0.81,3600
-15.866,-137.6906,0.237,3600
15.8767,53.7157,0.381,3600
16.0236,88.5762,0.324,3600
4.293,30.0128,0.77,3600
-49.1652,166.3821,0.13,3600
40.2363,-45.0466,0.613,3600
-21.5064,-77.1436,0.786,3600
-37.6178,132.6957,0.889,3600
-55.107,-99.5055,0.408,3600
10.9072,166.7601,0.839,3600
21.3077,-175.6244,0.2,3600
-58.0095,169.1564,0.862,3600
1.4512,-164.4624,0.215,3600
-32.8205,140.8115,0.458,3600
17.4207,9.9724,0.818,3600
-39.076,177.4673,0.235,3600
22.9125,-153.4332,0.306,3600
-13.5918,19.3875,0.75,3600
52.4076,168.9489,0.748,3600
-43.4975,8.3152,0.677,3600
-19.072,46.5835,0.725,3600
-46.3832,70.4695,0.588,3600
50.9632,-16.3652,0.327,3600
45.2807,45.9209,0.411,3600
-29.047,30.3532,0.263,3600
19.1981,144.4169,0.918,3600
38.0667,-163.6393,0.625,3600
6.6241,-78.8533,0.461,3600
3.5581,162.1481,0.516,3600
-30.9777,140.495,0.953,3600
-48.8277,-15.9636,0.238,3600
47.6659,43.2477,0.628,3600
48.0502,-80.1428,0.555,3600
15.9722,-112.2764,0.65,3600
-19.3164,-13.0686,0.116,3600
-18.0949,-52.7932,0.885,3600
27.1147,30.1162,0.939,3600
47.6532,-152.0155,0.609,3600
46.4504,170.7821,0.727,3600
33.5851,175.0359,0.93,3600
17.0438,71.3382,0.737,3600
-49.9032,12.9947,0.237,3600
-40.6046,-68.5701,0.619,3600
47.8265,112.9662,0.646,3600
12.7715,66.5032,0.482,3600
-58.8964,-121.4579,0.763,3600
-47.8234,147.9338,0.941,3600
19.6202,116.1134,0.933,3600
-59.3926,161.928,0.506,3600
-40.703,81.259,0.202,3600
5.8481,40.8295,0.986,3600
23.0274,-29.4325,0.855,3600
18.2354,155.7823,0.212,3600
-33.0877,131.783,0.929,3600
25.4615,-163.7213,0.883,3600
-31.5301,-170.5079,0.567,3600
-20.952,-44.4732,0.632,3600
29.579,111.7992,0.459,3600
17.9559,175.4194,0.149,3600
41.9068,-125.8499,0.402,3600
18.9135,33.8871,0.823,3600
8.197,-42.8793,0.104,3600
-48.759,169.1692,0.4,3600
-15.8741,123.1628,0.458,3600
-28.1757,121.7983,0.584,3600
-30.7212,-11.2705,0.928,3600
56.7613,-30.665,0.412,3600
-12.8283,-81.5735,0.412,3600
47.0456,-159.7048,0.764,3600
15.7366,131.3001,0.507,3600
35.3774,112.6444,0.302,3600
0.3165,179.8984,0.507,3600
9.2285,178.7893,0.227,3600
-0.8979,19.9554,0.259,3600
-36.5708,96.8355,0.549,3600
26.6943,160.1157,0.477,3600
-26.3073,125.8731,0.923,3600
-57.0821,-90.9547,0.426,3600
17.4567,-17.8041,0.623,3600
-38.7467,-133.5026,0.669,3600
52.855,163.4584,0.112,3600
54.4714,38.2229,0.697,3600
49.7837,-97.6886,0.26,3600
-15.581,61.8122,0.965,3600
-58.1452,42.5262,0.234,3600
51.3982,-51.0614,0.473,3600
-8.6179,-139.1193,0.177,3600
55.9986,61.7664,0.997,3600
55.6344,7.3108,0.552,3600
42.3611,98.0346,0.636,3600
-24.6661,7.2589,0.16,3600
-13.7883,126.7853,0.775,3600
42.1364,18.6865,0.289,3600
-21.9694,21.9377,0.908,3600
-39.6609,135.5953,0.285,3600
6.8162,-34.7462,0.272,3600
52.3386,-131.7545,0.133,3600
23.5236,-169.6382,0.525,3600
8.4073,91.8494,0.608,3600
